rank,address,balance,percentage
73,"0x37e64b2138e50b134b968c665331027e3ca73ec7","4874.1441","0.19"
74,"0xe6232e1ae5268e0336d9d123388bfa5e00dc1ee4","4817.1038","0.19"
75,"0x8ea296e2297047923e9b37d4ca186664c2fab78b","4801.0314","0.19"
76,"0x98d84f674b6352191b7431ad18616ebff761b347","4731.9123","0.18"
77,"0x5afbffcb4d06d58324e20a6570f21cb4cf0d3775","4729.0192","0.18"
78,"0x71914b759a14760e15b4d439e7bba59b89cbc3e8","4654.6405","0.18"
79,"0xf0633940d64515379bbe743515fc14c13834d393","4541.0354","0.18"
80,"0x393b6a3ca1b28db826397888364472c124b9c2d2","4478.4503","0.17"
81,"0x582a87a4c6676cb429098451e3080de8d036613d","4462.1727","0.17"
82,"0x0f2ea12e0ac6d46c3bd7b501d748557c383f6ed5","4387.2610","0.17"
83,"0x2ba7f536ff0a4a043c2f3c25163f0384681657e8","4336.6765","0.17"
84,"0x7df5cffa8aa7d987d3834d6d493d9d0dcb5d62d2","4320.0000","0.17"
85,"0xc2e986a9287a3f36236da21b5299432531f87d14","4290.3006","0.17"
86,"0x29d5ef85acb5b18064d2313bbf10e2bfd55a91af","4254.8771","0.16"
87,"0x2128adfee4fc6a4c444fe8ee3148e894f87b2b83","4228.7488","0.16"
88,"0xed4b68f541a850ba2e507194462920430782bb4c","4227.3736","0.16"
89,"0x34b4df3f43d25073474e660712aea2482deb641b","4222.3780","0.16"
90,"0xc9bc3e0f504ba78f7dc03a1dd33fa31506d5d3cf","4163.8428","0.16"
91,"0x70eeb10f73f7008626a46fd211f9492eb720018e","4137.9852","0.16"
92,"0xa3c373757d15563eb97fae18701bc2cea0bfe855","4113.1018","0.16"
93,"0xaff077824bd34036171c5362b0f88d379ece3588","4093.2371","0.16"
94,"0x137d210d9ff13b0bbd9419be9802e0177105e62e","4090.4415","0.16"
95,"0xa159a385988fa1ab27569acd64dcbbdbfed4f0c3","4023.6917","0.16"
96,"0x423e5af152961f518abfac5b22e874322e88a79c","4000.0000","0.15"
97,"0x6b2eaee0d6cc8ed679829ba2f1b028b5974b9546","4000.0000","0.15"
98,"0x882dad8e29922ab48237beb605d70d04fa6488db","3980.5157","0.15"
99,"0x9356cf2924606b7d46d5460a99944eb825fcd94a","3957.7592","0.15"
100,"0x347e0fde7e0626d0a91bd78b8d620fd8d8b63fb4","3906.3563","0.15"
